"","ensembl_gene_id","external_gene_name","Gene_name_canonical","graph_localization_annotation","num_human","num"
"3662","ENSMUSG00000048371","Pdp2","PDP2","mitochondrion",1,1
"3663","ENSMUSG00000048537","Phldb1","PHLDB1","plasma_membrane",1,1
"3664","ENSMUSG00000048578","Mlec","MLEC","ER",1,1
"3665","ENSMUSG00000048661","Lemd3","LEMD3","ER",1,1
"3666","ENSMUSG00000048701","Ccdc6","CCDC6","cytosol",1,1
"3667","ENSMUSG00000048755","Mcat","MCAT","mitochondrion",1,1
"3668","ENSMUSG00000048758","Rpl29","RPL29","translation",1,1
"3669","ENSMUSG00000048799","Cep120","CEP120","centrosome",1,1
"3670","ENSMUSG00000048832","Vps37c","VPS37C","plasma_membrane",1,1
"3671","ENSMUSG00000048874","Phf3","PHF3","nucleolus",1,1
"3672","ENSMUSG00000048878","Hexim1","HEXIM1","nucleus",1,1
"3673","ENSMUSG00000048970","C1galt1c1","C1GALT1C1","ER",1,1
"3674","ENSMUSG00000049076","Acap2","ACAP2","cytosol",1,2
"3675","ENSMUSG00000049313","Sorl1","SORL1","early_endosome",1,1
"3676","ENSMUSG00000049323","Smcr8","SMCR8","lysosome",1,1
"3677","ENSMUSG00000049354","Dcaf7","DCAF7","nucleus",1,1
"3678","ENSMUSG00000049396","Gemin4","GEMIN4","stress_granule",1,1
"3679","ENSMUSG00000049401","Ogfr","OGFR","cytosol",1,1
"3680","ENSMUSG00000049439","Cyp20a1","CYP20A1","ER",1,2
"3681","ENSMUSG00000049470","Aff4","AFF4","nucleus",1,1
"3682","ENSMUSG00000049482","Ctu2","CTU2","cytosol",1,1
"3683","ENSMUSG00000049504","Proser1","PROSER1","unclassified",1,1
"3684","ENSMUSG00000049516","Spty2d1","SPTY2D1","nucleus",1,1
"3685","ENSMUSG00000049517","Rps23","RPS23","stress_granule",1,1
"3686","ENSMUSG00000049550","Clip1","CLIP1","cytosol",1,2
"3687","ENSMUSG00000049553","Polr1a","POLR1A","nucleolus",1,1
"3688","ENSMUSG00000049659","Aftph","AFTPH","early_endosome",1,1
"3689","ENSMUSG00000049734","Trex1","TREX1","unclassified",1,1
"3690","ENSMUSG00000049760","Micos13","MICOS13","mitochondrion",1,1
"3691","ENSMUSG00000049792","Bag5","BAG5","unclassified",1,1
"3692","ENSMUSG00000049932","H2ax","H2AX","nucleus",1,1
"3693","ENSMUSG00000049940","Pgrmc2","PGRMC2","ER",1,1
"3694","ENSMUSG00000050017","Pitpnb","PITPNB","cytosol",1,2
"3695","ENSMUSG00000050029","Rap2c","RAP2C","plasma_membrane",1,1
"3696","ENSMUSG00000050043","Tmx2","TMX2","ER",1,1
"3697","ENSMUSG00000050148","Ubqln2","UBQLN2","proteasome",1,1
"3698","ENSMUSG00000050240","Hic2","HIC2","nucleus",1,1
"3699","ENSMUSG00000050244","Heatr1","HEATR1","nucleolus",1,2
"3700","ENSMUSG00000050310","Rictor","RICTOR","14-3-3_scaffold",1,1
"3701","ENSMUSG00000050379","Septin6","SEPTIN6","actin_cytoskeleton",1,1
"3702","ENSMUSG00000050549","Fam241a","FAM241A","ER",1,1
"3703","ENSMUSG00000050565","Tor1aip2","TOR1AIP2","cytosol",1,2
"3704","ENSMUSG00000050608","Micos10","MICOS10","mitochondrion",1,1
"3705","ENSMUSG00000050627","Gpd1l","GPD1L","ER",1,1
"3706","ENSMUSG00000050697","Prkaa1","PRKAA1","cytosol",1,1
"3707","ENSMUSG00000050708","Ftl1","FTL","lysosome",1,1
"3708","ENSMUSG00000050721","Plekho2","PLEKHO2","cytosol",1,1
"3709","ENSMUSG00000050732","Vamp8","VAMP8","recycling_endosome",1,1
"3710","ENSMUSG00000050812","Ecpas","ECPAS","proteasome",1,1
"3711","ENSMUSG00000050856","Atp5me","ATP5ME","mitochondrion",1,1
"3712","ENSMUSG00000050965","Prkca","PRKCA","cytosol",1,1
"3713","ENSMUSG00000050989","Selenon","SELENON","ER",1,1
"3714","ENSMUSG00000051007","Gatd1","GATD1","early_endosome",1,1
"3715","ENSMUSG00000051149","Adnp","ADNP","nucleus",1,1
"3716","ENSMUSG00000051154","Commd3","COMMD3","cytosol",1,1
"3717","ENSMUSG00000051220","Ercc6l","ERCC6L","unclassified",1,1
"3718","ENSMUSG00000051223","Bzw1","BZW1","stress_granule",1,2
"3719","ENSMUSG00000051232","Tmem199","TMEM199","ER",1,1
